feature,strategy,filter_auc,conf_auc,dir_acc,life_mae
Prev Taker Buy USD,ls_fade,0.5027498907493992,0.5005183937951032,0.648480371464753,1.5048064555086298
Prev Taker Buy USD,momentum,0.4967895843201206,0.49604145960528184,0.6907681742372216,1.2616649950193246
Prev Taker Buy USD,reversal,0.5211458698489837,0.5222598152886614,0.6859925788497218,1.3851958835330762
Prev Taker Buy USD,mean_reversion,0.4958821425984936,0.49604193846488365,0.6261818181818182,0.9770518554936812
Prev Taker Buy USD,momentum_ls,0.519872218342045,0.5193654573504904,0.6749851455733809,1.3602860009932085
ADX,ls_fade,0.5251162306698497,0.5246791061310045,0.648480371464753,1.5166234620419166
ADX,momentum,0.5210777772250567,0.5215574847478865,0.6907681742372216,1.2759146082392738
ADX,reversal,0.525129259160497,0.525507756276987,0.6859925788497218,1.395920205351484
ADX,mean_reversion,0.5335324178012746,0.531219422700587,0.6261818181818182,0.9793811400939955
ADX,momentum_ls,0.5191645833065118,0.5186546866849464,0.6749851455733809,1.3733729111362085
Chain Seq,ls_fade,0.5908312547831488,0.5916651012910014,0.6520683832840861,1.4972336980524574
Chain Seq,momentum,0.5328732426173889,0.5332244556680166,0.6907681742372216,1.274560004763469
Chain Seq,reversal,0.5266737775434118,0.5270555133535902,0.6859925788497218,1.3946830741442948
Chain Seq,mean_reversion,0.5487183607329085,0.5656302094658259,0.6276363636363637,0.9771315470727195
Chain Seq,momentum_ls,0.5322162781303912,0.5321310091685895,0.6749851455733809,1.3744761466018702
Gap Days,ls_fade,0.5027740248116725,0.502773682831033,0.6482693119459688,1.5173685684919218
Gap Days,momentum,0.5218437314583111,0.5193947384434392,0.690866280780928,1.2684570808305493
Gap Days,reversal,0.5546319072629816,0.5559306532864224,0.6859925788497218,1.3933537462180512
Gap Days,mean_reversion,0.5301817786790266,0.5293825197506704,0.6276363636363637,0.983338134866207
Gap Days,momentum_ls,0.5106253882412389,0.5154102927439521,0.6748366013071896,1.3731066399338367
Chain First,ls_fade,0.5008028239784122,0.5008028239784122,0.648480371464753,1.5175346701874841
Chain First,momentum,0.517796123611018,0.5178824635064874,0.6907681742372216,1.2729038389992517
Chain First,reversal,0.5211493653642377,0.5215536542459619,0.6859925788497218,1.3950014597841538
Chain First,mean_reversion,0.4925179243916571,0.4935606472421541,0.6276363636363637,0.9894402104605241
Chain First,momentum_ls,0.5127910401163839,0.5125186181169556,0.6749851455733809,1.3741421764743227
Direction_num,ls_fade,0.5009469932451495,0.5009469932451495,0.648480371464753,1.518551664180051
Direction_num,momentum,0.5379559408021328,0.538233481854098,0.6907681742372216,1.2779990661102607
Direction_num,reversal,0.5638296066147134,0.5643451143451144,0.6859925788497218,1.393092191741126
Direction_num,mean_reversion,0.5125674427867902,0.5140066681162572,0.6276363636363637,0.9977265827948111
Direction_num,momentum_ls,0.5147658402425522,0.5150592837061484,0.6749851455733809,1.3744642116266903
DayOfWeek,ls_fade,0.5162302301602986,0.5162302301602986,0.648480371464753,1.5098921526130948
DayOfWeek,momentum,0.5401600587061858,0.5401658294062099,0.6907681742372216,1.2737839548926944
DayOfWeek,reversal,0.5088925908059959,0.5079566807932192,0.6859925788497218,1.3976889881596088
DayOfWeek,mean_reversion,0.5508038818076477,0.5514480050010873,0.6276363636363637,0.9975195925113925
DayOfWeek,momentum_ls,0.5293061284181322,0.5295998004007076,0.6749851455733809,1.3717605042703773
Month,ls_fade,0.591769014551032,0.591769014551032,0.648480371464753,1.4904772388791387
Month,momentum,0.5894249427032529,0.589539157420742,0.6907681742372216,1.268606906194762
Month,reversal,0.6143168315051788,0.6139712937789861,0.6859925788497218,1.3949250073414694
Month,mean_reversion,0.6036197313151795,0.6042946383271726,0.6414545454545455,0.9624860496022953
Month,momentum_ls,0.6068459503019029,0.6069202805054168,0.6749851455733809,1.3576374220861596
Hour,ls_fade,0.5,0.5,0.33,5.0
Hour,momentum,0.5,0.5,0.33,5.0
Hour,reversal,0.5,0.5,0.33,5.0
Hour,mean_reversion,0.5,0.5,0.33,5.0
Hour,momentum_ls,0.5,0.5,0.33,5.0
LS_Extreme,ls_fade,0.5157583945865442,0.5159733294184692,0.648480371464753,1.5130742771320513
LS_Extreme,momentum,0.5207854358481901,0.5222291637086469,0.6907681742372216,1.2774165888412155
LS_Extreme,reversal,0.5245275311774993,0.5296007916200224,0.6859925788497218,1.3989984413585128
LS_Extreme,mean_reversion,0.4685440505504056,0.46836155504819876,0.6218181818181818,0.998085786106966
LS_Extreme,momentum_ls,0.5185000973620516,0.5160613043471701,0.6749851455733809,1.3767129920171342
L/S Ratio,ls_fade,0.521571943322083,0.5212312817507649,0.6491135500211059,1.51353771745118
L/S Ratio,momentum,0.5201042597130513,0.5184557446434487,0.6907681742372216,1.2775759279818386
L/S Ratio,reversal,0.5235492862657211,0.5225941548056933,0.6859925788497218,1.3935489569850372
L/S Ratio,mean_reversion,0.47085362652085744,0.4728881278538813,0.624,0.9952871034817526
L/S Ratio,momentum_ls,0.5172602399129697,0.5175574439016832,0.6749851455733809,1.3764571881656318
Prev_Volatility,ls_fade,0.5152160865738645,0.5149052505997486,0.648480371464753,1.4555478095649037
Prev_Volatility,momentum,0.5239747865475385,0.5240501995677347,0.6907681742372216,1.2341825525498893
Prev_Volatility,reversal,0.5195109674287889,0.5213992283703822,0.6859925788497218,1.3813113400641386
Prev_Volatility,mean_reversion,0.5301444361964078,0.5274153801551063,0.6218181818181818,0.9504779459737888
Prev_Volatility,momentum_ls,0.5360408566573113,0.5381387567197506,0.6749851455733809,1.3227445566541214
Prev_BuyPressure,ls_fade,0.4963016992285161,0.4955474120737242,0.648480371464753,1.5116041599059302
Prev_BuyPressure,momentum,0.508613481803822,0.5108338798627027,0.6907681742372216,1.2763897871071856
Prev_BuyPressure,reversal,0.5083003506501158,0.5084269550615705,0.6859925788497218,1.3899681835513178
Prev_BuyPressure,mean_reversion,0.530127462340672,0.535988348916431,0.6276363636363637,0.9911975660729864
Prev_BuyPressure,momentum_ls,0.5082111010441074,0.510114523112119,0.6749851455733809,1.370494712830887
Prev_CandleDir,ls_fade,0.5,0.5,0.648480371464753,1.518248502003061
Prev_CandleDir,momentum,0.49989118304174895,0.4998915054686742,0.6907681742372216,1.2706813243227484
Prev_CandleDir,reversal,0.5,0.5,0.6859925788497218,1.3957223808103616
Prev_CandleDir,mean_reversion,0.5,0.5,0.6276363636363637,0.9981086147894659
Prev_CandleDir,momentum_ls,0.5,0.5,0.6749851455733809,1.3742227853265896
